11-21326T,11/15,1143 hrs,11/1 1030 hrs,11/15 1100 hrs Theft,Palo Verde Main,Pending
11-21330T,11/15,1211 hrs,11/15 1205 hrs,11/15 1210 hrs Theft,Noble Library,Pending
"",,,,,Student Recreation,
11-21336T,11/15,1237 hrs,11/8 1430 hrs,11/15 1200 hrs Theft,,Pending
"",,,,,Complex,
11-21346T,11/15,1404 hrs,11/15 1200 hrs,11/15 1315 hrs Theft,Discovery Hall,Pending
"",,,,,University Center,
11-21352T,11/15,1516 hrs,11/15 1420 hrs,"11/15 1440 hrs Criminal Damage, Theft",,Pending
"",,,,,Parking Structure,
11-21386T,11/15,2203 hrs,11/15 2203 hrs,11/15 2203 hrs Warrant Arrest,Music West,Cleared By Arrest
"",,,,,E Veterans Way/ S,
11-21387T,11/15,2216 hrs,11/15 2150 hrs,"11/15 2216 hrs Accident, Non-Injury",,Pending
"",,,,,College Ave,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Wednesday, November 16, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,"DUI Aggravated, While Suspended for DUI, DUI-",,
"",,,,"Alcohol, Drug, Vapor, Combination Thereof, DUI",,
"",,,,,S Rural Rd/ E Southern,
11-21401T,11/16,0120 hrs,11/16 0120 hrs,"11/16 0120 hrs w/BAC of .08 or Higher, Driving with a suspended",,Pending
"",,,,,Ave,
"",,,,"License, Unlawful to Possess an Open Container,",,
"",,,,Warrant Arrest,,
11-21428T,11/16,1449 hrs,11/16 1450 hrs,11/16 1455 hrs Theft,Noble Library,Pending
11-21430T,11/16,1523 hrs,11/3 1200 hrs,11/7 1200 hrs Theft,Cholla,Pending
11-21432T,11/16,1655 hrs,11/16 0930 hrs,11/16 1030 hrs Theft,Palo Verde Main,Pending
11-21454T,11/16,2124 hrs,11/16 1835 hrs,11/16 2120 hrs Bike Theft,Language and Literature,Pending
"",,,,"Possession Of Marijuana, Possession Of Drug",,
11-21455T,11/16,2141 hrs,11/16 2141 hrs,11/16 2141 hrs,Parking Structure 4,Pending
"",,,,Paraphernalia,,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Thursday, November 17, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-21484T,11/17,0708 hrs,11/16 1945 hrs,11/16 2140 hrs Theft,Neeb Hall,Pending
