"",,,,,Alcohol in the Body,,
10-12082T,8/18,0217 hrs,8/18 0217 hrs,8/18,0217 hrs Under 21 with Alcohol in the Body,Sonora,Cleared by Arrest
10-12085T,8/18,0301 hrs,8/18 0301 hrs,8/18,0301 hrs Under 21 with Alcohol in the body,Vista del Sol,Cleared by Arrest
10-12094T,8/18,1012 hrs,8/18 1010 hrs,8/18,1012 hrs Information,Art Building,Pending
10-12101T,8/18,1155 hrs,8/17 1900 hrs,8/18,1155 hrs Stolen Bicycle,Vista del Sol,Pending
10-12104T,8/18,1214 hrs,8/18 1214 hrs,8/18,1222 hrs Theft,700blk E Alpha,Pending
10-12105T,8/18,1222 hrs,8/17 1530 hrs,8/18,1212 hrs Stolen Bicycle,University Towers Apts,Pending
10-12106T,8/18,1214 hrs,8/18 1214 hrs,8/18,1222 hrs Theft,700blk E Alpha,Pending
10-12111T,8/18,1341 hrs,8/18 0100 hrs,8/18,0105 hrs Stolen Bicycle,Palo Verde Main,Pending
10-12113T,8/18,1354 hrs,8/18 1230 hrs,8/18,1354 hrs Theft,College of Design South,Pending
10-12115T,8/18,1405 hrs,8/18 1350 hrs,8/18,1400 hrs Theft,Orange Mall,Pending
10-12116T,8/18,1429 hrs,8/18 0100 hrs,8/18,0105 hrs Criminal Damage,Vista del Sol,Pending
10-12117T,8/18,1450 hrs,8/17 0800 hrs,8/17,1700 hrs Disturbing Phone Calls,325 E Apache,Pending
10-12119T,8/18,1556 hrs,8/18 unk,8/18,1556 hrs Stolen Bicycle,Palo Verde West,Pending
10-12130T,8/18,1916 hrs,8/18 unk,8/18,1916 hrs Theft,Parking Structure 7,Pending
"",,,,,,N Scottsdale Rd / E,
10-12133T,8/18,2017 hrs,8/18 2017 hrs,8/18,2017 hrs Warrant Arrest,,Cleared by Arrest
"",,,,,,McKellips Rd,
10-12145E,8/18,2157 hrs,8/18 2157 hrs,8/18,2335 hrs Possession of Marijuana,Talon Hall,Cleared by Arrest
10-12148T,8/18,2205 hrs,8/17 1700 hrs,8/18,1630 hrs Stolen Bicycle,Rosewood Hall,Pending
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Thursday, August 19, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
