"",,,,,E. University Dr. / S.,
11-14309T,8/20,2157 hrs,8/20 2157 hrs,8/20 2208 hrs Driving on a Suspended License,,Cleared By Arrest
"",,,,,Rural Rd,
"",,,,,Vista Del Sol Parking,
11-14310T,8/20,1819 hrs,8/20 1819 hrs,8/20 2221 hrs Minor in Possession of Alcohol,,Cleared By Arrest
"",,,,,Structure,
"",,,,"Minor in Possession of Alcohol, Minor in Consumption",,
11-14319T,8/20,2342 hrs,8/20 2342 hrs,8/20 2346 hrs,Vista Del Sol,Cleared By Arrest
"",,,,of Alcohol,,
"",,,,"Minor in Possession of Alcohol, Minor in Consumption",S. Rural Rd. / E. Lemon,
11-14320T,8/20,2355 hrs,8/20 2355 hrs,8/21 0129 hrs,,Cleared By Arrest
"",,,,of Alcohol,St.,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Sunday, August 21, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-14325T,8/21,0016 hrs,8/21 0000 hrs,8/21 0015 hrs Criminal Damage,Vista del Sol,Pending
11-14327T,8/21,0101 hrs,8/21 0101 hrs,8/21 0130 hrs Under 21 with Alcohol in Body,Cholla,Cleared By Arrest
"",,,,,E Apache Blvd / S,
11-14333T,8/21,0215 hrs,8/21 0215 hrs,8/21 0240 hrs Under 21 with Alcohol in Body,,Cleared By Arrest
"",,,,,McAllister Ave,
"",,,,"DUI .08 or Higher, DUI, Under 21 in Control of",N Scottsdale Rd / E,
11-14336T,8/21,0226 hrs,8/21 0226 hrs,8/21 0256 hrs,,Cleared By Arrest
"",,,,Vehicle With Alcohol in Body,Gilbert Rd,
11-14337T,8/21,0255 hrs,8/21 0255 hrs,8/21 0315 hrs Under 21 with Alcohol in Body,Sonora,Cleared By Arrest
11-14342T,8/21,0415 hrs,8/21 0415 hrs,8/21 0420 hrs Under 21 with Alcohol in Body,Vista del Sol,Cleared By Arrest
11-14351T,8/21,1259 hrs,8/19 1600 hrs,8/20 2000 hrs Bike Theft,Hassayampa,Pending
11-14367T,8/21,1947 hrs,8/20 1400 hrs,8/21 1530 hrs Theft,Adelphi Commons 2,Pending
11-14371T,8/21,1947 hrs,8/20 1400 hrs,8/21 1530 hrs Theft,Adelphi Commons 2,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Monday, August 22, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-14404T,8/22,0957hrs,8/20 0000 hrs,8/22 0957 hrs Bike Theft,Hassayampe Phrase 1,Pending
11-14405T,8/22,0946 hrs,8/19 1730 hrs,8/21 1300 hrs Criminal Damag3e,Old Main,Pending
11-14407T,8/22,1104 hrs,8/19 1400 hrs,8/22 0945 hrs Bike Theft,Light Rail Tyler Station,Pending
11-14409T,8/22,1121 hrs,8/21 1700 hrs,8/22 1000 hrs Bike Theft,Cereus Hall,Pending
"",,,,,Parking Services,
11-14422T,8/22,1444 hrs,8/19 2100 hrs,8/22 0545 hrs Burglary,,Pending
"",,,,,Dispatch,
"",,,,,Physical Education,
11-14428T,8/22,1559 hrs,8/17 1530 hrs,8/22 1500 hrs Theft,,Pending
"",,,,,West,
114-14429T,8/22,1605 hrs,4/1 1200 hrs,8/20 1200 hrs Bike Theft,Hassayampe Phrase 2,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Tuesday, August 23, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,S. McAllister Ave. / E.,
11-14483T,8/23,0911 hrs,8/23 0845 hrs,"8/23 1131 hrs Accident, No Injuries",,Closed
"",,,,,Apache Blvd,
11-14498T,8/23,1041 hrs,8/23 0030 hrs,8/23 0830 hrs Bicycle Theft,Hassayampa Phase II,Pending
11-14508T,8/23,1223 hrs,8/17 1700 hrs,8/17 2300 hrs Bicycle Theft,Vista Del Sol,Pending
11-14509T,8/23,1217 hrs,8/22 1600 hrs,8/23 0830 hrs Bicycle Theft,Vista Del Sol,Pending
11-14511T,8/23,1227 hrs,8/21 1900 hrs,8/23 1000 hrs Bicycle Theft,Hassayampa Phase II,Pending
11-14512T,8/23,1234 hrs,8/22 1800 hrs,8/23 0845 hrs Bicycle Theft,Hassayampa Phase II,Pending
"",,,,,Physical Sciences-H,
11-14539T,8/23,1920 hrs,8/23 1600 hrs,8/23 1900 hrs Bicycle Theft,,Pending
"",,,,,Wing,
11-14540T,8/23,1907 hrs,8/23 1200 hrs,8/23 1300 hrs Theft,Noble Library,Pending
11-14542T,8/23,2006 hrs,8/22 1700 hrs,8/23 2000 hrs Bicycle Theft,Best Hall,Pending
11-14560T,8/23,2203 hrs,8/23 2203 hrs,8/23 2231 hrs Littering,955 E. Apache Blvd.,Cleared By Arrest
"",,,,"Possession of Marijuana, Possession of Drug",,
11-14561T,8/23,2209 hrs,8/23 2209 hrs,8/24 0017 hrs,Palo Verde East,Pending
"",,,,Paraphernalia,,
"",,,,Police Log,,
