10-7752T,5/8,0125 hrs,5/8 0125 hrs,5/8,0125 hrs,Under 21 with Alcohol in the Body/Littering,Physical Education East,Cleared by Arrest
10-7756T,5/8,0150 hrs,5/8 0150 hrs,5/8,0150 hrs,Under 21 with Alcohol in the Body,Hassayampa Phase 2,Cleared by Arrest
"",,,,,,,E Apache Blvd/ S Paseo,
10-7757T,5/8,0203 hrs,5/8 0203 hrs,5/8,0203 hrs,Under 21 with Alcohol in the Body,,Cleared by Arrest
"",,,,,,,Del Saber,
"",,,,,,,E Apache Blvd/ S Paseo,
10-7760T,5/8,0219 hrs,5/8 0219 hrs,5/8,0219 hrs,Under 21 with Alcohol in the Body,,Cleared by Arrest
"",,,,,,,Del Saber,
10-7761T,5/8,0239 hrs,5/8 0239 hrs,5/8,0239 hrs,Under 21 with Alcohol in the Body,Vista Del Sol,Cleared by Arrest
"",,,,,,,E Apache Blvd/ S Paseo,
10-7765T,5/8,0250 hrs,5/8 0250 hrs,5/8,0250 hrs,Under 21 with Alcohol in the Body,,Cleared by Arrest
"",,,,,,,Del Saber,
"",,,,,,,E Apache Blvd/ S Paseo,
10-7767T,5/8,0300 hrs,5/8 0300 hrs,5/8,0300 hrs,Under 21 with Alcohol in the Body,,Cleared by Arrest
"",,,,,,,Del Saber,
"",,,,,,Theft / Attempted Theft / Loitering / Other Agency,,
10-7768T,5/8,0305 hrs,5/8 0327 hrs,5/8,0327 hrs,,West Hall,Cleared by Arrest
"",,,,,,Warrant,,
10-7776P,5/8,0541 hrs,5/8 0541 hrs,5/8,0541 hrs,Warrant Arrest,7th Ave / McDowell,Cleared by Arrest
10-7777T,5/8,0629 hrs,5/8 0629 hrs,5/8,0721 hrs,Falsification,Sonora Center,Cleared by Arrest
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-7783T,5/8,1034 hrs,5/7 2000 hrs,5/8,0900 hrs,Criminal Damage,College of Design North Pending
10-7788T,5/8,1208 hrs,5/7 2100 hrs,5/8,1200 hrs,Criminal Damage,Sonora Center Pending
10-7793T,5/8,1340 hrs,5/6 0001 hrs,5/7,0200 hrs,Theft of Personal Property,Hassayampa Phase 1 Pending
10-7795T,5/8,1523 hrs,5/7 2100 hrs,5/8,1500 hrs,Criminal Damage,609 S Alpha Dr Pending
10-7798T,5/8,1722 hrs,5/8 1500 hrs,5/8,1615 hrs,Theft of Personal Property,Music E Pending
10-7799T,5/8,1741 hrs,5/8 1300 hrs,5/8,1741 hrs,Vehicle Theft,Parking Area 15 Pending
10-7801T,5/8,1755 hrs,5/8 1300 hrs,5/8,1755 hrs,Bicycle Theft,Hassayampa Phase 2 Pending
10-7814T,5/8,2251 hrs,5/8 2251 hrs,5/8,2310 hrs,Under 21 with Alcohol in the Body,Parking Structure 4 Cleared by Arrest
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-7823T,5/9,0041 hrs,5/9 0041 hrs,5/9,0041 hrs,Under 21 W/Alcohol in the Body,601 S Alpha Dr,Cleared by Arrest
10-7831T,5/9,0157 hrs,5/9 0157 hrs,5/9,0157 hrs,Under 21 W/Alcohol in the Body,Vista Del Sol,Cleared by Arrest
10-7834T,5/9,0243 hrs,5/9 0220 hrs,5/9,0243 hrs,Criminal Damage,Sonora Center,Pending
10-7835T,5/9,0419 hrs,5/9 0419 hrs,5/9,0419 hrs,Arson,Willow Hall,Pending
10-7840T,5/9,0829 hrs,5/9 0810 hrs,5/9,0815 hrs,Criminal Damage,San Pablo,Cleared by Arrest
10-7850T,5/9,2030 hrs,5/9 2030 hrs,5/9,2050 hrs,Warrant Arrest,325 E Apache Blvd,Cleared by Arrest
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-7868T,5/10,0938 hrs,5/4 2200 hrs,5/5,1400 hrs,Bike Theft,Best Hall,Pending
10-7879T,5/10,1215 hrs,5/4 2100 hrs,5/4,2100 hrs,Bike Theft,Hassayampa Phase 1,Pending
10-7882T,5/10,1315 hrs,5/7 1700 hrs,5/10,1200 hrs,Bike Theft,Vista Del Sol,Pending
10-7890T,5/10,1603 hrs,5/10 1400 hrs,5/9,1603 hrs,Theft,Hassayampa Phase 1,Pending
10-7900E,5/10,1824 hrs,3/9 0000 hrs,5/9,1824 hrs,Harassment,Talon Hall,Pending
10-7913T,5/10,2222 hrs,5/8 0100 hrs,5/9,0800 hrs,Information Only,Vista Del Sol,Pending
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-7890T,05/10,1603 hrs,05/10 1603 hrs,05/11,2321,Burglary/Theft of Personal Property,Hassayampa Phase 1,Cleared by Arrest
10-7916T,05/11,0001 hrs,05/11 0001 hrs,05/11,0035 hrs,Warrant Arrest,2600 Blk of E 8th St,Cleared by Arrest
10-7921T,05/11,0737 hrs,05/11 0715 hrs,05/11,0730 hrs,Accident,University Club,Pending
10-7935T,05/11,1506 hrs,05/04 0800 hrs,05/11,1500 hrs,Burglary/Theft of Personal Property,Music West,Pending
10-7938T,05/11,1644 hrs,05/11 1644 hrs,05/11,1803 hrs,Possession of Marijuana and drug paraphernalia,Adelphi 2,Pending
"",,,,,,,Vista del Sol Parking,
10-7944T,05/11,1831 hrs,05/11 1815 hrs,05/11,1815 hrs,Hit & Run Accident,,Pending
"",,,,,,,Structure,
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-7964T,05/12,0246 hrs,05/12 0246 hrs,05/12,0246 hrs,Public Nuisance,Vista Del Sol,Cleared By Arrest
10-7968T,05/12,0449 hrs,05/12 0449 hrs,05/12,0449 hrs,Criminal Damage,Cady Mall/Palm Walk,Pending
10-7985T,05/12,1335 hrs,05/12 1230 hrs,05/12,1330 hrs,Stolen Bicycle,Moeur,Pending
10-7986T,05/12,1338 hrs,04/01 0800 hrs,05/12,1300 hrs,Stolen Bicycle,Barrett,Pending
10-7988T,05/12,1357 hrs,05/10 1800 hrs,05/12,0900 hrs,Stolen Bicycle,SSB,Pending
10-8005T,05/12,1824 hrs,05/12 1824 hrs,05/12,1824 hrs,Theft,Tempe Center,Pending
10-8013T,05/12,1952 hrs,05/11 2100 hrs,05/12,1952 hrs,Stolen Bicycle,Tempe Lot 40,Pending
10-8017T,05/12,2139 hrs,05/12 2139 hrs,05/12,2139 hrs,Impound,Cholla,Closed
10-8020T,05/12,2225 hrs,05/12 2200 hrs,05/12,2225 hrs,Theft,Tempe Lot 40,Pending
10-8021T,05/12,2300 hrs,05/12 2300 hrs,05/12,2308 hrs,In Possession of Marijuana,Vista Del Sol,Cleared By Arrest
10-8022T,05/12,2351 hrs,05/12 2351 hrs,05/12,2355 hrs,Minor in Consumption,Rural/University,Cleared By Arrest
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-8026T,05/13,0052 hrs,05/13 0052 hrs,05/13,0105 hrs,Under 21 w/ alcohol in the body,Adelphi Commons,Cleared By Arrest
"",,,,,,,E Apache Blvd / S,
10-8028T,05/13,0111 hrs,05/13 0111 hrs,05/13,0111 hrs,Under 21 w/ alcohol in the body,,Cleared By Arrest
"",,,,,,,Rural Rd,
"",,,,,,,E Apache Blvd / S,
10-8030T,05/13,0111 hrs,05/13 0111 hrs,05/13,0111 hrs,Aggravated Assault,,Cleared By Arrest
"",,,,,,,Rural Rd,
10-8033T,05/13,0225 hrs,05/13 0220 hrs,05/13,0220 hrs,Criminal Damage,Vista Del Sol,Cleared By Arrest
10-8038T,05/13,0453 hrs,05/13 0445 hrs,05/13,0450 hrs,Stolen Bicycle,Manzanita,Cleared By Arrest
10-8043T,05/43,0736 hrs,05/13,05/13,,Loitering,Best Hall,Cleared By Arrest
10-8044T,05/13,0806 hrs,05/13 0800 hrs,05/13,0805 hrs,Impound,325  E Apache,Pending
"",,,,,,,Student Services,
10-8047T,05/13,0917 hrs,05/13 0800 hrs,05/13,0900 hrs,Theft,,Pending
"",,,,,,,Building,
10-8049T,05/13,0935 hrs,05/12 0950 hrs,05/13,1100 hrs,Theft,Physical Sciences F,Pending
10-8061T,05/13,1605 hrs,05/13 1605 hrs,05/13,1629 hrs,Possession of Paraphernalia,Hassayampa Phase 1,Cleared By Arrest
10-8072T,05/13,1840 hrs,05/13 1840 hrs,05/13,1945 hrs,Under 21 w/ alcohol in the body,Memorial Union,Cleared By Arrest
10-8082T,05/13,2211 hrs,05/13 2211 hrs,05/13,2222 hrs,Under 21 w/ alcohol in the body,Vista Del Sol,Cleared By Arrest
10-8085T,05/13,2249 hrs,05/13 2249 hrs,05/13,2307 hrs,Under 21 w/ alcohol in the body,Vista Del Sol,Cleared By Arrest
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-8107T,5/14,0148 hrs,5/14 0148 hrs,5/14,0148 hrs,Trespass,Mona Plumber,Cleared by Arrest
10-8121T,5/14,0409 hrs,5/14 0409 hrs,5/14,0418 hrs,Under 21 with Alcohol in the Body,Vista Del Sol,Cleared by Arrest
10-8135T,5/14,0858 hrs,5/14 0355 hrs,5/14,0855 hrs,Vehicle Burglary,Vista Del Sol Structure,Pending
10-8139T,5/14,1025 hrs,5/13 0230 hrs,5/14,1429 hrs,Bike Theft,Manzanita Hall,Pending
"",,,,,,Possession of Marijuana / Possession of Drug,,
10-8149T,5/14,1329 hrs,5/14 1329 hrs,5/14,1329 hrs,,Irish C,Cleared by Arrest
"",,,,,,Paraphernalia,,
10-8152T,5/14,1444 hrs,5/14 1300 hrs,5/14,1430 hrs,Bike Theft,Language and Lit,Pending
10-8153T,5/14,1429 hrs,5/7 1400 hrs,5/7,1700 hrs,Bike Theft,Language and Lit,Pending
10-8156T,5/14,1555 hrs,5/13 0900 hrs,5/14,1555 hrs,Property Impound,Coor Hall,Pending
10-8162T,5/14,1749 hrs,5/14 1230 hrs,5/14,1745 hrs,Criminal Damage,Noble Library,Pending
10-8172T,5/14,2020 hrs,5/14 1600 hrs,5/14,1930 hrs,Bike Theft,Memorial Union,Pending
10-8184T,5/14,2337 hrs,5/14 2337 hrs,5/14,2338 hrs,Public Nuisance,Arboretum,Cleared by Arrest
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-8187T,5/15,0037 hrs,5/15 0037 hrs,5/15,0037 hrs,Trespassing,714 S Alpha Dr,Pending
10-8203T,5/15,0619 hrs,5/15 0619 hrs,5/15,0619 hrs,Located Missing Juvenile,Vista Del Sol,Pending
10-8212T,5/15,1028 hrs,5/15 1028 hrs,5/15,1028 hrs,Leaving the Scene of an Accident,Parking Area 59,Cleared by Arrest
10-8221T,5/15,1248 hrs,05/13 1245 hrs,5/15,1245 hrs,Theft,Dixie Gammage,Pending
10-8234T,5/15,1754 hrs,5/15 1734 hrs,5/15,1734 hrs,Criminal Damage,606 S Alpha Dr,Pending
